id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,associatedOccurrences,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
43868552,ASU,ASUHIC,,98d9b8ed-08d6-47fc-b324-2853e44d75d1,PreservedSpecimen,d8ed83a4-907d-481e-ae76-22955631ab77,ASUHIC0109080,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,"Pontia occidentalis",296035,"(Reakirt, 1866)",Pontia,occidentalis,,,ASUHIC,"No record",,,,,,"F.W. Skillman, Jr.",,1990-07-03,1990,7,3,184,,20.vi.1990,,,,,,,,,,,adult,,,,,,"United States",Colorado,"Park county",,"Horseshoe Mountain",,39.168094,-106.212001,WGS84,2000,,"Jeffrey Sneed",,"Google Earth",,,3426,,,,,"11,240'",,,jeffrey.sneed,"2023-04-27 17:19:16",http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:5a8a026e-d046-49ce-ba0c-8b4ab9245779,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=43868552
13118087,UMNH,ENT,UMNH,11991258-201f-460d-a69b-1ab112a01cf3,PreservedSpecimen,a632b968-345c-4fc3-a825-802c3a114fc3,UMNH.ent.0035086,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,"Pontia occidentalis",296035,"(Reakirt, 1866)",Pontia,occidentalis,,,,,,,,,,"J.W. Sugden",,1917-08-05,1917,8,5,217,,1917-8-5,,,,,,,,,,,adult,F,,,,pinned,"United States",Utah,"Salt Lake",,"Salt Lake City",,40.76083,-111.89028,WGS84,9066,,,,GeoLocate,,,2377,,,,,,8/Le-150,,"Gail Everett","2016-12-20 16:55:48",http://creativecommons.org/licenses/by-nc/4.0/,"Natural History Museum of Utah","not-for-profit use only, researchers are requested to let us know when they use our specimen data in publications",urn:uuid:a632b968-345c-4fc3-a825-802c3a114fc3,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118087
13118104,UMNH,ENT,UMNH,11991258-201f-460d-a69b-1ab112a01cf3,PreservedSpecimen,de9e91dc-2fc1-4374-b03a-16183ca9269f,UMNH.ent.0035095,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,"Pontia occidentalis",296035,"(Reakirt, 1866)",Pontia,occidentalis,,,,,,,,,,"J.B. Duncan",,1937-07-06,1937,7,6,187,,1937-7-6,,,U20745,,,,,,,,adult,F,,,,pinned,"United States",Utah,"Salt Lake",,"Salt Lake City",,40.76083,-111.89028,WGS84,5399,,,,GeoLocate,,,,,,,,,8/Le-150,,"Gail Everett","2016-12-20 16:55:48",http://creativecommons.org/licenses/by-nc/4.0/,"Natural History Museum of Utah","not-for-profit use only, researchers are requested to let us know when they use our specimen data in publications",urn:uuid:de9e91dc-2fc1-4374-b03a-16183ca9269f,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118104
13118106,UMNH,ENT,UMNH,11991258-201f-460d-a69b-1ab112a01cf3,PreservedSpecimen,be6558da-9ace-42db-862d-22827a7240ce,UMNH.ent.0035096,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,"Pontia occidentalis",296035,"(Reakirt, 1866)",Pontia,occidentalis,,,,,,,,,,"K.M. Pack",,1929-05-03,1929,5,3,123,,1929-5-3,,,U19367,,,,,,,,adult,F,,,,pinned,"United States",Utah,"Salt Lake",,"Salt Lake City",,40.76083,-111.89028,WGS84,5399,,,,GeoLocate,,,,,,,,,8/Le-150,,"Gail Everett","2016-12-20 16:55:48",http://creativecommons.org/licenses/by-nc/4.0/,"Natural History Museum of Utah","not-for-profit use only, researchers are requested to let us know when they use our specimen data in publications",urn:uuid:be6558da-9ace-42db-862d-22827a7240ce,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118106
13118167,UMNH,ENT,UMNH,11991258-201f-460d-a69b-1ab112a01cf3,PreservedSpecimen,7ce4db05-15e8-4d91-a51b-2e925d57568f,UMNH.ent.0035109,UMNH.A.2011.43,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,"Pontia occidentalis",296035,"(Reakirt, 1866)",Pontia,occidentalis,,,,,,,,,,"James R.M. Pearce",,1985-07-00,1985,7,0,,,1985-7,,,,,,,,,,,adult,F,,,,pinned,"United States",Utah,"Salt Lake",,"Salt Lake City",,40.67444,-111.69028,WGS84,90,"Baker Spring",,,GeoLocate,,,,,,,,,8/Le-150,,"Gail Everett","2016-12-20 16:55:48",http://creativecommons.org/licenses/by-nc/4.0/,"Natural History Museum of Utah","not-for-profit use only, researchers are requested to let us know when they use our specimen data in publications",urn:uuid:7ce4db05-15e8-4d91-a51b-2e925d57568f,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118167
13118170,UMNH,ENT,UMNH,11991258-201f-460d-a69b-1ab112a01cf3,PreservedSpecimen,cab242f0-a5d9-406d-a8e4-049170f07e2c,UMNH.ent.0035103,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,"Pontia occidentalis",296035,"(Reakirt, 1866)",Pontia,occidentalis,,,,,,,,,,Rowe,,1930-05-24,1930,5,24,144,,1930-5-24,,,U588,,,,,,,,adult,F,,,,pinned,"United States",Utah,Sevier,,"Monroe Canyon",,38.63,-112.12,WGS84,2812,,,,GeoLocate,,,,,,,,,8/Le-150,,"Gail Everett","2016-12-20 16:55:48",http://creativecommons.org/licenses/by-nc/4.0/,"Natural History Museum of Utah","not-for-profit use only, researchers are requested to let us know when they use our specimen data in publications",urn:uuid:cab242f0-a5d9-406d-a8e4-049170f07e2c,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118170
13118171,UMNH,ENT,UMNH,11991258-201f-460d-a69b-1ab112a01cf3,PreservedSpecimen,b06037f5-4aad-452c-bacd-9b4bf4fd68ab,UMNH.ent.0035104,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,"Pontia occidentalis",296035,"(Reakirt, 1866)",Pontia,occidentalis,,,,,,,,,,Rowe,,1930-05-24,1930,5,24,144,,1930-5-24,,,U587,,,,,,,,adult,M,,,,pinned,"United States",Utah,Sevier,,"Monroe Canyon",,38.63,-112.12,WGS84,2812,,,,GeoLocate,,,,,,,,,8/Le-150,,"Gail Everett","2016-12-20 16:55:48",http://creativecommons.org/licenses/by-nc/4.0/,"Natural History Museum of Utah","not-for-profit use only, researchers are requested to let us know when they use our specimen data in publications",urn:uuid:b06037f5-4aad-452c-bacd-9b4bf4fd68ab,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118171
13118175,UMNH,ENT,UMNH,11991258-201f-460d-a69b-1ab112a01cf3,PreservedSpecimen,b4cefabc-da52-478c-a491-5490120b3207,UMNH.ent.0035107,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,"Pontia occidentalis",296035,"(Reakirt, 1866)",Pontia,occidentalis,,,,,,,,,,"K.M. Pack",,1930-07-12,1930,7,12,193,,1930-7-12,,,U19368,,,,,,,,adult,F,,,,pinned,"United States",Utah,"Salt Lake",,"Salt Lake City",,40.76083,-111.89028,WGS84,9066,,,,GeoLocate,,,,,,,,,8/Le-150,,"Gail Everett","2016-12-20 16:55:48",http://creativecommons.org/licenses/by-nc/4.0/,"Natural History Museum of Utah","not-for-profit use only, researchers are requested to let us know when they use our specimen data in publications",urn:uuid:b4cefabc-da52-478c-a491-5490120b3207,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118175
13118218,UMNH,ENT,UMNH,11991258-201f-460d-a69b-1ab112a01cf3,PreservedSpecimen,330b35a3-16b5-4def-8f8f-348b1daf3012,UMNH.ent.0035121,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,"Pontia occidentalis",296035,"(Reakirt, 1866)",Pontia,occidentalis,,,,,,,,,,"J.B. Duncan",,1937-07-24,1937,7,24,205,,1937-7-24,,,U21196,,,,,,,,adult,F,,,,pinned,"United States",Utah,Duchesne,,"Grandaddy Lakes",,40.60056,-110.80306,WGS84,878,,,,GeoLocate,,,,,,,,,8/Le-150,,"Gail Everett","2016-12-20 16:55:48",http://creativecommons.org/licenses/by-nc/4.0/,"Natural History Museum of Utah","not-for-profit use only, researchers are requested to let us know when they use our specimen data in publications",urn:uuid:330b35a3-16b5-4def-8f8f-348b1daf3012,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118218
13118252,UMNH,ENT,UMNH,11991258-201f-460d-a69b-1ab112a01cf3,PreservedSpecimen,19d81a1d-5a61-4cdc-b4fe-b1c06f712dca,UMNH.ent.0035139,,Animalia,Arthropoda,Insecta,Lepidoptera,Pieridae,"Pontia occidentalis",296035,"(Reakirt, 1866)",Pontia,occidentalis,,,,,,,,,,"J.W. Sugden",,1899-09-13,1899,9,13,256,,1899-9-13,,,,,,,,,,,adult,F,,,,pinned,"United States",Utah,"Salt Lake",,"Salt Lake City",,40.746266,-111.861441,WGS84,15356,,,,GeoLocate,,,,,,,,,8/Le-150,,"Gail Everett","2016-12-20 16:55:48",http://creativecommons.org/licenses/by-nc/4.0/,"Natural History Museum of Utah","not-for-profit use only, researchers are requested to let us know when they use our specimen data in publications",urn:uuid:19d81a1d-5a61-4cdc-b4fe-b1c06f712dca,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118252
