coreid,Iptc4xmpExt:CountryName,Iptc4xmpExt:LocationCreated,Iptc4xmpExt:LocationShown,Iptc4xmpExt:ProvinceState,Iptc4xmpExt:WorldRegion,ac:IDofContainingCollection,ac:accessURI,ac:associatedObservationReference,ac:associatedSpecimenReference,ac:attributionLogoURL,ac:bestQualityAccessURI,ac:bestQualityFormat,ac:caption,ac:captureDevice,ac:comments,ac:derivedFrom,ac:digitizationDate,ac:fundingAttribution,ac:furtherInformationURL,ac:goodQualityAccessURI,ac:hasServiceAccessPoint,ac:hashFunction,ac:hashValue,ac:licenseLogoURL,ac:metadataCreator,ac:metadataLanguage,ac:metadataLanguageLiteral,ac:metadataProvider,ac:metadataProviderLiteral,ac:physicalSetting,ac:provider,ac:providerID,ac:providerLiteral,ac:providerManagedID,ac:relatedResourceID,ac:resourceCreationTechnique,ac:serviceExpectation,ac:subjectCategoryVocabulary,ac:subjectOrientation,ac:subjectPart,ac:subtype,ac:subtypeLiteral,ac:tag,ac:taxonCount,ac:taxonCoverage,ac:thumbnailAccessURI,ac:variant,ac:variantLiteral,dc:creator,dc:format,dc:language,dc:rights,dc:source,dc:type,dcterms:accessRights,dcterms:audience,dcterms:available,dcterms:created,dcterms:creator,dcterms:description,dcterms:format,dcterms:identifier,dcterms:language,dcterms:license,dcterms:modified,dcterms:publisher,dcterms:references,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:temporal,dcterms:title,dcterms:type,dwc:Identification,dwc:associatedOccurrences,dwc:associatedTaxa,dwc:basisOfRecord,dwc:catalogNumber,dwc:collectionCode,dwc:collectionID,dwc:coordinateUncertaintyInMeters,dwc:country,dwc:county,dwc:dateIdentified,dwc:day,dwc:decimalLatitude,dwc:decimalLongitude,dwc:eventDate,dwc:family,dwc:genus,dwc:geodeticDatum,dwc:georeferencedBy,dwc:habitat,dwc:higherClassification,dwc:identificationQualifier,dwc:identifiedBy,dwc:institutionCode,dwc:kingdom,dwc:lifeStage,dwc:locality,dwc:minimumElevationInMeters,dwc:month,dwc:municipality,dwc:occurrenceID,dwc:occurrenceRemarks,dwc:order,dwc:otherCatalogNumbers,dwc:phylum,dwc:preparations,dwc:recordNumber,dwc:recordedBy,dwc:scientificName,dwc:scientificNameAuthorship,dwc:sex,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonRank,dwc:verbatimElevation,dwc:vernacularName,dwc:year,exif:PixelXDimension,exif:PixelYDimension,idigbio:OriginalFileName,idigbio:associatedRecordReference,idigbio:associatedRecordsetReference,idigbio:mediaStatus,idigbio:mediaStatusDate,idigbio:recordId,photoshop:Credit,symbiota:recordEnteredBy,symbiota:recordID,xmp:CreateDate,xmp:MetadataDate,xmpRights:Owner,xmpRights:UsageTerms,xmpRights:WebStatement
3bdc6cf8-087b-4ee9-ad12-81fb42c3b74a,,,,,,,"https://images.collections.yale.edu/iiif/2/ypm:ab934a21-1208-44c8-8037-04171b732b5d/full/!1920,1920/0/default.jpg",,,,,,,,irn:36842,,2011,,,,,,,,,en,,,,,,,,urn:uuid:ab934a21-1208-44c8-8037-04171b732b5d,,,,,,,,,,,,,,,Aimee Burg,image/jpeg,,CC0,,StillImage,,,,,Aimee Burg,,image/jpeg,urn:uuid:ab934a21-1208-44c8-8037-04171b732b5d,,,,,,CC0,,,,Pontia occidentalis (YPM ENT 723941). Digital Image: Yale Peabody Museum; photo by Aimee Burg 2011,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-21T20:20:21Z,,,http://hdl.handle.net/10079/8931zqj/
23e525b7-1320-474a-97d5-6c35ce75c254,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076649_labels.jpg,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=40076947,,,,,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076649_labels_lg.jpg,,,,,,en,,,,,,,,urn:uuid:3358568f-2078-4472-8cd3-f07a842ce8cb,,,,,,,Photograph,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076649_labels_tn.jpg,,,,,,,,,,,,,,,image/jpeg,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076649_labels.jpg,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-28 13:53:12,Natural History Museum of Utah,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
23e525b7-1320-474a-97d5-6c35ce75c254,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076649_specimen.jpg,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=40076947,,,,,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076649_specimen_lg.jpg,,,,,,en,,,,,,,,urn:uuid:ba6afc05-8fbe-4ca5-b477-f3b33b78e540,,,,,,,Photograph,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076649_specimen_tn.jpg,,,,,,,,,,,,,,,image/jpeg,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076649_specimen.jpg,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-28 13:53:14,Natural History Museum of Utah,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
b99386a3-22c9-48ae-8d2c-8d6fe0a0d66b,,,,,,,https://api.idigbio.org/v2/media/6bca57c15178cdcc4b1ad47535c93d8a?size=fullsize,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=32647647,,,,,,,,,,,https://api.idigbio.org/v2/media/6bca57c15178cdcc4b1ad47535c93d8a?size=webview,,,,,,en,,,,,,,,urn:uuid:90b17f01-8fdc-4165-a30f-f60619b07b52,,,,,,,Photograph,,,,,https://api.idigbio.org/v2/media/6bca57c15178cdcc4b1ad47535c93d8a?size=thumbnail,,,,,,,,,,,,,,,image/jpeg,https://api.idigbio.org/v2/media/6bca57c15178cdcc4b1ad47535c93d8a?size=fullsize,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-08 18:37:32,"University of Nevada, Reno, Museum of Natural History",CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/
b99386a3-22c9-48ae-8d2c-8d6fe0a0d66b,,,,,,,https://api.idigbio.org/v2/media/6ee1add5c1130dcc39cafafa1eb88900?size=fullsize,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=32647647,,,,,,,,,,,https://api.idigbio.org/v2/media/6ee1add5c1130dcc39cafafa1eb88900?size=webview,,,,,,en,,,,,,,,urn:uuid:708561b9-f847-4a80-987a-41e14fadff46,,,,,,,Photograph,,,,,https://api.idigbio.org/v2/media/6ee1add5c1130dcc39cafafa1eb88900?size=thumbnail,,,,,,,,,,,,,,,image/jpeg,https://api.idigbio.org/v2/media/6ee1add5c1130dcc39cafafa1eb88900?size=fullsize,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-08 18:37:32,"University of Nevada, Reno, Museum of Natural History",CC0 1.0 (Public-domain),http://creativecommons.org/publicdomain/zero/1.0/
1ad6936d-8026-4f9f-943e-200d70f75426,,,,,,,https://api.idigbio.org/v2/media/0904f7dea68daae6c8e379c7d89381f5?size=fullsize,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118218,,,,,,,,,,,https://api.idigbio.org/v2/media/0904f7dea68daae6c8e379c7d89381f5?size=webview,,,,,,en,,,,,,,,urn:uuid:e5946a7c-5c66-456b-b504-ee1b939ab2d0,,,,,,,Photograph,,,,,https://api.idigbio.org/v2/media/0904f7dea68daae6c8e379c7d89381f5?size=thumbnail,,,,,,,,,,,,,,,image/jpeg,https://api.idigbio.org/v2/media/0904f7dea68daae6c8e379c7d89381f5?size=fullsize,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-11-27 18:41:14,Natural History Museum of Utah,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
1ad6936d-8026-4f9f-943e-200d70f75426,,,,,,,https://api.idigbio.org/v2/media/5fc96846b73ad113be3b6d0bf0a449af?size=fullsize,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=13118218,,,,,,,,,,,https://api.idigbio.org/v2/media/5fc96846b73ad113be3b6d0bf0a449af?size=webview,,,,,,en,,,,,,,,urn:uuid:f5804400-38f6-4a1c-928a-9a9a126a9b72,,,,,,,Photograph,,,,,https://api.idigbio.org/v2/media/5fc96846b73ad113be3b6d0bf0a449af?size=thumbnail,,,,,,,,,,,,,,,image/jpeg,https://api.idigbio.org/v2/media/5fc96846b73ad113be3b6d0bf0a449af?size=fullsize,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-11-27 18:41:14,Natural History Museum of Utah,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
d55874d6-5737-4d0f-a936-fe9bd3763511,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076645_labels.jpg,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=40076943,,,,,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076645_labels_lg.jpg,,,,,,en,,,,,,,,urn:uuid:116c9e62-a3ea-4259-af03-4ab36909d587,,,,,,,Photograph,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076645_labels_tn.jpg,,,,,,,,,,,,,,,image/jpeg,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076645_labels.jpg,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-28 13:53:03,Natural History Museum of Utah,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
d55874d6-5737-4d0f-a936-fe9bd3763511,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076645_specimen.jpg,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=40076943,,,,,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076645_specimen_lg.jpg,,,,,,en,,,,,,,,urn:uuid:ad7cfece-c0af-4ca2-86dd-3e0adf378656,,,,,,,Photograph,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076645_specimen_tn.jpg,,,,,,,,,,,,,,,image/jpeg,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076645_specimen.jpg,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-28 13:53:04,Natural History Museum of Utah,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
ce0b172d-a331-4d0e-b652-8f45c8e3a6d3,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076640_labels.jpg,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=40076925,,,,,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076640_labels_lg.jpg,,,,,,en,,,,,,,,urn:uuid:d86f5ebc-2e75-4f9d-abb7-4229c9341db1,,,,,,,Photograph,,,,,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076640_labels_tn.jpg,,,,,,,,,,,,,,,image/jpeg,https://scan-bugs.org:443/imglib/scan/misc/202103/UMNH.ent.0076640_labels.jpg,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-28 13:52:52,Natural History Museum of Utah,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
