coreid,Iptc4xmpExt:CountryName,Iptc4xmpExt:LocationCreated,Iptc4xmpExt:LocationShown,Iptc4xmpExt:ProvinceState,Iptc4xmpExt:WorldRegion,ac:IDofContainingCollection,ac:accessURI,ac:associatedObservationReference,ac:associatedSpecimenReference,ac:attributionLogoURL,ac:bestQualityAccessURI,ac:bestQualityFormat,ac:caption,ac:captureDevice,ac:comments,ac:derivedFrom,ac:digitizationDate,ac:fundingAttribution,ac:furtherInformationURL,ac:goodQualityAccessURI,ac:hasServiceAccessPoint,ac:hashFunction,ac:hashValue,ac:licenseLogoURL,ac:metadataCreator,ac:metadataLanguage,ac:metadataLanguageLiteral,ac:metadataProvider,ac:metadataProviderLiteral,ac:physicalSetting,ac:provider,ac:providerID,ac:providerLiteral,ac:providerManagedID,ac:relatedResourceID,ac:resourceCreationTechnique,ac:serviceExpectation,ac:subjectCategoryVocabulary,ac:subjectOrientation,ac:subjectPart,ac:subtype,ac:subtypeLiteral,ac:tag,ac:taxonCount,ac:taxonCoverage,ac:thumbnailAccessURI,ac:variant,ac:variantLiteral,dc:creator,dc:format,dc:language,dc:rights,dc:source,dc:type,dcterms:accessRights,dcterms:audience,dcterms:available,dcterms:created,dcterms:creator,dcterms:description,dcterms:format,dcterms:identifier,dcterms:language,dcterms:license,dcterms:modified,dcterms:publisher,dcterms:references,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:temporal,dcterms:title,dcterms:type,dwc:Identification,dwc:associatedOccurrences,dwc:associatedTaxa,dwc:basisOfRecord,dwc:catalogNumber,dwc:collectionCode,dwc:collectionID,dwc:coordinateUncertaintyInMeters,dwc:country,dwc:county,dwc:dateIdentified,dwc:day,dwc:decimalLatitude,dwc:decimalLongitude,dwc:eventDate,dwc:family,dwc:genus,dwc:geodeticDatum,dwc:georeferencedBy,dwc:habitat,dwc:higherClassification,dwc:identificationQualifier,dwc:identifiedBy,dwc:institutionCode,dwc:kingdom,dwc:lifeStage,dwc:locality,dwc:minimumElevationInMeters,dwc:month,dwc:municipality,dwc:occurrenceID,dwc:occurrenceRemarks,dwc:order,dwc:otherCatalogNumbers,dwc:phylum,dwc:preparations,dwc:recordNumber,dwc:recordedBy,dwc:scientificName,dwc:scientificNameAuthorship,dwc:sex,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonRank,dwc:verbatimElevation,dwc:vernacularName,dwc:year,exif:PixelXDimension,exif:PixelYDimension,idigbio:OriginalFileName,idigbio:associatedRecordReference,idigbio:associatedRecordsetReference,idigbio:mediaStatus,idigbio:mediaStatusDate,idigbio:recordId,photoshop:Credit,symbiota:recordEnteredBy,symbiota:recordID,xmp:CreateDate,xmp:MetadataDate,xmpRights:Owner,xmpRights:UsageTerms,xmpRights:WebStatement
04b48a5b-0515-4791-ae5f-f20e728fa86f,,,,,,,"https://images.collections.yale.edu/iiif/2/ypm:513c59fc-6c27-411c-b875-155455091114/full/!1920,1920/0/default.jpg",,,,,,,,irn:101316,,2011,,,,,,,,,en,,,,,,,,urn:uuid:513c59fc-6c27-411c-b875-155455091114,,,,,,,,,,,,,,,Andrew Stoehr,image/jpeg,,CC0,,StillImage,,,,,Andrew Stoehr,,image/jpeg,urn:uuid:513c59fc-6c27-411c-b875-155455091114,,,,,,CC0,,,,Pieris rapae (YPM ENT 815459). Digital Image: Yale Peabody Museum; photo by Andrew Stoehr 2011,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-21T20:26:39Z,,,http://hdl.handle.net/10079/8931zqj/
170b9757-7b12-42fe-9c39-7dfe98703f2a,,,,,,,"https://images.collections.yale.edu/iiif/2/ypm:5bf37d54-335c-4748-bf2b-e746c38c4f0e/full/!1920,1920/0/default.jpg",,,,,,,,irn:101709,,2011,,,,,,,,,en,,,,,,,,urn:uuid:5bf37d54-335c-4748-bf2b-e746c38c4f0e,,,,,,,,,,,,,,,Andrew Stoehr,image/jpeg,,CC0,,StillImage,,,,,Andrew Stoehr,,image/jpeg,urn:uuid:5bf37d54-335c-4748-bf2b-e746c38c4f0e,,,,,,CC0,,,,Pieris rapae (YPM ENT 815052). Digital Image: Yale Peabody Museum; photo by Andrew Stoehr 2011,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-21T20:26:43Z,,,http://hdl.handle.net/10079/8931zqj/
f127cbd7-b6a6-43b5-ac46-5c155e010b5c,,,,,,,"https://images.collections.yale.edu/iiif/2/ypm:3a2d5b8b-3cd1-4556-8673-3c44d767cd89/full/!1920,1920/0/default.jpg",,,,,,,,irn:101388,,2011,,,,,,,,,en,,,,,,,,urn:uuid:3a2d5b8b-3cd1-4556-8673-3c44d767cd89,,,,,,,,,,,,,,,Andrew Stoehr,image/jpeg,,CC0,,StillImage,,,,,Andrew Stoehr,,image/jpeg,urn:uuid:3a2d5b8b-3cd1-4556-8673-3c44d767cd89,,,,,,CC0,,,,Pieris rapae (YPM ENT 815090). Digital Image: Yale Peabody Museum; photo by Andrew Stoehr 2011,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-21T20:26:40Z,,,http://hdl.handle.net/10079/8931zqj/
56561509-050d-4b6f-8430-2503bffd3f05,,,,,,,"https://images.collections.yale.edu/iiif/2/ypm:11dcc29f-0836-4c33-8d37-595f0f0aa90d/full/!1920,1920/0/default.jpg",,,,,,,,irn:101413,,2011,,,,,,,,,en,,,,,,,,urn:uuid:11dcc29f-0836-4c33-8d37-595f0f0aa90d,,,,,,,,,,,,,,,Andrew Stoehr,image/jpeg,,CC0,,StillImage,,,,,Andrew Stoehr,,image/jpeg,urn:uuid:11dcc29f-0836-4c33-8d37-595f0f0aa90d,,,,,,CC0,,,,Pieris rapae (YPM ENT 815034). Digital Image: Yale Peabody Museum; photo by Andrew Stoehr 2011,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-21T20:26:40Z,,,http://hdl.handle.net/10079/8931zqj/
29305b96-a2c9-4f80-ac09-327a572df845,,,,,,,"https://images.collections.yale.edu/iiif/2/ypm:0de2ee20-32a3-4838-bbea-56cb74774ba2/full/!1920,1920/0/default.jpg",,,,,,,,irn:101707,,2011,,,,,,,,,en,,,,,,,,urn:uuid:0de2ee20-32a3-4838-bbea-56cb74774ba2,,,,,,,,,,,,,,,Andrew Stoehr,image/jpeg,,CC0,,StillImage,,,,,Andrew Stoehr,,image/jpeg,urn:uuid:0de2ee20-32a3-4838-bbea-56cb74774ba2,,,,,,CC0,,,,Pieris rapae (YPM ENT 815057). Digital Image: Yale Peabody Museum; photo by Andrew Stoehr 2011,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-21T20:26:43Z,,,http://hdl.handle.net/10079/8931zqj/
4e3e62f7-6c4c-4a32-9687-b91435ebbacc,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202102/SDNHM175796.JPG,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48854398,,,,,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202102/SDNHM175796_lg.jpg,,,,,,en,,,,,,,,urn:uuid:1c6d5656-52bf-40b2-b687-c84dfc7543c2,,,,,,,Photograph,,,,,https://scan-bugs.org:443/imglib/scan/misc/202102/SDNHM175796_tn.jpg,,,,,,,,,,,,,,,image/jpeg,https://scan-bugs.org:443/imglib/scan/misc/202102/SDNHM175796.JPG,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-01 22:02:27,San Diego Natural History Museum,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
3a44b161-41a0-4f1c-90da-ced6086aee25,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM211292.jpg,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57392609,,,,,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM211292_lg.jpg,,,,,,en,,,,,,,,urn:uuid:4523ba93-a355-40b5-869f-1e6b543cbf42,,,,,,,Photograph,,,,,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM211292_tn.jpg,,,,,,,,,,,,,,,image/jpeg,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM211292.jpg,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-13 11:03:38,San Diego Natural History Museum,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
6c2a36d7-6c64-41d6-a837-8a17659aa06c,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM211321.jpg,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57392649,,,,,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM211321_lg.jpg,,,,,,en,,,,,,,,urn:uuid:e8117335-0e15-4992-b5f4-a5486e73a946,,,,,,,Photograph,,,,,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM211321_tn.jpg,,,,,,,,,,,,,,,image/jpeg,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM211321.jpg,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-13 11:04:02,San Diego Natural History Museum,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
eec25c3c-d6b9-4a84-b95d-abbaa70ae89d,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM212384.JPG,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57393605,,,,,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM212384_lg.jpg,,,,,,en,,,,,,,,urn:uuid:f587c63e-529c-473b-ad94-57681feaa4f8,,,,,,,Photograph,,,,,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM212384_tn.jpg,,,,,,,,,,,,,,,image/jpeg,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM212384.JPG,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-19 08:44:05,San Diego Natural History Museum,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
dd20e736-c723-44e9-9eaa-e6de31bf50a4,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM212387.JPG,,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=57393610,,,,,,,,,,,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM212387_lg.jpg,,,,,,en,,,,,,,,urn:uuid:320d0149-3720-4ef6-8baa-6bc7c32e0210,,,,,,,Photograph,,,,,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM212387_tn.jpg,,,,,,,,,,,,,,,image/jpeg,https://scan-bugs.org:443/imglib/scan/misc/202110/SDNHM212387.JPG,,,,,,,,,,,StillImage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-19 08:44:07,San Diego Natural History Museum,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),http://creativecommons.org/licenses/by-nc/4.0/
