coreid,idigbio:associatedsequences,idigbio:barcodeValue,dwc:basisOfRecord,dwc:bed,gbif:canonicalName,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,idigbio:collectionName,dwc:recordedBy,dwc:vernacularName,idigbio:commonnames,dwc:continent,dwc:coordinateUncertaintyInMeters,dwc:country,idigbio:isoCountryCode,dwc:county,dwc:datasetID,idigbio:eventDate,idigbio:dateModified,idigbio:dataQualityScore,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,idigbio:etag,dwc:eventDate,dwc:family,dwc:fieldNumber,idigbio:flags,dwc:formation,dwc:genus,dwc:geologicalContextID,idigbio:geoPoint,dwc:group,idigbio:hasImage,idigbio:hasMedia,dwc:higherClassification,dwc:highestBiostratigraphicZone,dwc:individualCount,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,idigbio:institutionName,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lithostratigraphicTerms,dwc:locality,dwc:lowestBiostratigraphicZone,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,idigbio:mediarecords,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:municipality,dwc:occurrenceID,dwc:order,dwc:phylum,idigbio:recordIds,dwc:recordNumber,idigbio:recordset,dwc:scientificName,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:taxonID,dwc:taxonomicStatus,dwc:taxonRank,dwc:typeStatus,idigbio:uuid,dwc:verbatimEventDate,dwc:verbatimLocality,idigbio:version,dwc:waterBody
31ced189-1a6c-44d4-b1c7-9c82d77d7392,,,preservedspecimen,,pieris rapae,ypm ent 815457,insecta,ent,,,richard e. gray,sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,3379,united states,usa,grafton county,7ddf754f-d193-4cc9-b351-99906754a03b,1979-07-31T00:00:00+00:00,2022-12-07T01:18:52.358259+00:00,0.2753623188405797,,,,,,461d0dd343b7caf01a69555e3532bfaa63f6961e,1979-07-31,pieridae,,"[""dwc_country_replaced"", ""gbif_vernacularname_added"", ""gbif_reference_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_taxonid_added"", ""gbif_genericname_added"", ""gbif_taxon_corrected"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_taxonomicstatus_added"", ""dwc_originalnameusageid_added"", ""dwc_datasetid_replaced"", ""taxon_match_failed""]",,pieris,,"{""lat"": 43.6401749, ""lon"": -72.2521019}",,true,true,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; pieridae; pierinae,,1,,ypm,,,animalia,,,,,,,lebanon,,,,"[""bc21b537-0d19-4a40-aec7-b0d22f149af2""]",,,,,urn:uuid:c8ef4f61-1409-412b-b8dc-872b28d57d6f,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:c8ef4f61-1409-412b-b8dc-872b28d57d6f""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,pieris rapae,rapae,212,new hampshire,1920496,accepted,species,,31ced189-1a6c-44d4-b1c7-9c82d77d7392,,,,
1cf4351a-2686-46c8-90df-4928dadc4f2b,,,preservedspecimen,,pieris rapae,ypm ent 815264,insecta,ent,,,charles g. oliver,sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,3219,united states,usa,middlesex county,7ddf754f-d193-4cc9-b351-99906754a03b,1965-07-02T00:00:00+00:00,2022-12-07T01:18:52.358259+00:00,0.2608695652173913,,,,,,fb6b131f3467cea6b750ef4d676aabeb9e446fb2,1965-07-02,pieridae,,"[""geopoint_low_precision"", ""dwc_country_replaced"", ""gbif_vernacularname_added"", ""gbif_reference_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_taxonid_added"", ""gbif_genericname_added"", ""gbif_taxon_corrected"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_taxonomicstatus_added"", ""dwc_originalnameusageid_added"", ""dwc_datasetid_replaced"", ""taxon_match_failed""]",,pieris,,"{""lat"": 42.39003829480819, ""lon"": -71.16949562555831}",,true,true,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; pieridae; pierinae,,1,,ypm,,,animalia,,,,,,,belmont,,,,"[""71647343-13b8-4acd-8e72-9730170cd7af""]",,,,,urn:uuid:f9a78e6c-ac31-427c-91ed-a0f23faee460,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:f9a78e6c-ac31-427c-91ed-a0f23faee460""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,pieris rapae,rapae,183,massachusetts,1920496,accepted,species,,1cf4351a-2686-46c8-90df-4928dadc4f2b,,,,
e50fd7e3-7c28-4119-ac4f-86277a0869dc,,,preservedspecimen,,pieris rapae,ypm ent 815206,insecta,ent,,,"don b. stallings, j. e. turner",sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,1017,united states,usa,sumner county,7ddf754f-d193-4cc9-b351-99906754a03b,1944-03-17T00:00:00+00:00,2022-12-07T01:18:52.358259+00:00,0.2753623188405797,,,,,,5ac8bf2bf38f3a3aa9f3cb8d5dedd703e89f7043,1944-03-17,pieridae,,"[""dwc_country_replaced"", ""gbif_vernacularname_added"", ""gbif_reference_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_taxonid_added"", ""gbif_genericname_added"", ""gbif_taxon_corrected"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_taxonomicstatus_added"", ""dwc_originalnameusageid_added"", ""dwc_datasetid_replaced"", ""taxon_match_failed""]",,pieris,,"{""lat"": 37.03362656, ""lon"": -97.60813141}",,true,true,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; pieridae; pierinae,,1,,ypm,,,animalia,,,,,,,caldwell,,,,"[""abfd13fc-89cf-4dfc-b3d3-e2bec8df095d""]",,,,,urn:uuid:15db1313-3d5f-409e-9a1c-a333706937dd,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:15db1313-3d5f-409e-9a1c-a333706937dd""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,pieris rapae,rapae,77,kansas,1920496,accepted,species,,e50fd7e3-7c28-4119-ac4f-86277a0869dc,,,,
250f1d06-296a-405a-977f-7a1fb3e0a9dd,,,preservedspecimen,,pieris rapae,ypm ent 815154,insecta,ent,,,,sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,1207,united states,usa,windsor county,7ddf754f-d193-4cc9-b351-99906754a03b,1940-06-30T00:00:00+00:00,2022-12-07T01:18:52.358259+00:00,0.2463768115942029,,,,,,98dc7b1c742248c83c8669c3afd8e2403988f097,1940-06-30,pieridae,,"[""geopoint_low_precision"", ""gbif_reference_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""gbif_vernacularname_added"", ""idigbio_isocountrycode_added"", ""dwc_datasetid_replaced"", ""dwc_originalnameusageid_added"", ""taxon_match_failed"", ""dwc_taxonomicstatus_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added""]",,pieris,,"{""lat"": 43.700033770868345, ""lon"": -72.50952923878646}",,true,true,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; pieridae; pierinae,,1,,ypm,,,animalia,,,,,,,pomfret,,,,"[""7ad2974e-8556-498b-a78f-8e67118881d0""]",,,,,urn:uuid:2885159c-3f51-4294-8735-51f36ea74fb3,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:2885159c-3f51-4294-8735-51f36ea74fb3""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,pieris rapae,rapae,182,vermont,1920496,accepted,species,,250f1d06-296a-405a-977f-7a1fb3e0a9dd,,,,
f273f428-96d1-413e-b127-e92cad5d52ea,,,preservedspecimen,,pieris rapae,ypm ent 815069,insecta,ent,,,robert j. guppy,sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,3304,canada,can,,7ddf754f-d193-4cc9-b351-99906754a03b,1966-09-05T00:00:00+00:00,2022-12-07T01:18:52.358259+00:00,0.2608695652173913,,,,,,062f3795e0d5bc5c09ca190fafc8eea0dc8ec601,1966-09-05,pieridae,,"[""rev_geocode_eez"", ""gbif_vernacularname_added"", ""gbif_reference_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_taxonid_added"", ""gbif_genericname_added"", ""gbif_taxon_corrected"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_taxonomicstatus_added"", ""dwc_originalnameusageid_added"", ""dwc_datasetid_replaced"", ""taxon_match_failed""]",,pieris,,"{""lat"": 48.997539, ""lon"": -123.680847}",,true,true,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; pieridae; pierinae,,1,,ypm,,,animalia,,,,,,,"thetis island, near s.e. vancouver island",,,,"[""ec37a4cf-9c81-4162-95b4-b8ae35bcdcb8""]",,,,,urn:uuid:c2434607-339d-4ec7-a80a-454cbd90cf96,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:c2434607-339d-4ec7-a80a-454cbd90cf96""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,pieris rapae,rapae,248,british columbia,1920496,accepted,species,,f273f428-96d1-413e-b127-e92cad5d52ea,,,,
eabf294e-4613-486b-b57d-875c93e85b8e,,,preservedspecimen,,pieris rapae,ypm ent 815044,insecta,ent,,,john c. hopfinger,sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,1933,united states,usa,okanogan county,7ddf754f-d193-4cc9-b351-99906754a03b,1955-08-14T00:00:00+00:00,2022-12-07T01:18:52.358259+00:00,0.2898550724637681,,,,,,4ba09a20e8fe588afaa7f3d63ba8dfed1e49f0d9,1955-08-14,pieridae,,"[""gbif_reference_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""gbif_vernacularname_added"", ""idigbio_isocountrycode_added"", ""dwc_datasetid_replaced"", ""dwc_originalnameusageid_added"", ""taxon_match_failed"", ""dwc_taxonomicstatus_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added""]",,pieris,,"{""lat"": 48.0959784, ""lon"": -119.7806166}",,true,true,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; pieridae; pierinae,,1,,ypm,,,animalia,,,,,,,brewster,,,,"[""80f5f6e2-cc60-434c-9688-65a8cf97abc8""]",,,274,,urn:uuid:f834bf8d-6de3-4b13-bde5-e515d9780f80,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:f834bf8d-6de3-4b13-bde5-e515d9780f80""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,pieris rapae,rapae,226,washington,1920496,accepted,species,,eabf294e-4613-486b-b57d-875c93e85b8e,,,,
a6ed17bd-420d-4bba-91d9-1bb7c578e23b,,,preservedspecimen,,pieris rapae,ypm ent 815004,insecta,ent,,,robert f. sternitzky,sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,2195,united states,usa,cochise county,7ddf754f-d193-4cc9-b351-99906754a03b,1964-12-08T00:00:00+00:00,2022-12-07T01:18:52.358259+00:00,0.2753623188405797,,,,,,55f1280cc75333463e484b2137a461e4c2c475ff,1964,pieridae,,"[""dwc_country_replaced"", ""gbif_vernacularname_added"", ""gbif_reference_added"", ""idigbio_isocountrycode_added"", ""gbif_canonicalname_added"", ""dwc_taxonid_added"", ""gbif_genericname_added"", ""gbif_taxon_corrected"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""dwc_scientificnameauthorship_replaced"", ""dwc_taxonomicstatus_added"", ""dwc_originalnameusageid_added"", ""dwc_datasetid_replaced"", ""taxon_match_failed""]",,pieris,,"{""lat"": 31.462598, ""lon"": -110.289525}",,true,true,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; pieridae; pierinae,,1,,ypm,,,animalia,,,,,,,"huachuca mountains, ramsey canyon",,,,"[""07ca1b91-8e75-4895-8b6d-b74d71bee319""]",,,,,urn:uuid:44cc7382-40ff-4e1f-a69f-e8aaf44cd59e,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:44cc7382-40ff-4e1f-a69f-e8aaf44cd59e""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,pieris rapae,rapae,343,arizona,1920496,accepted,species,,a6ed17bd-420d-4bba-91d9-1bb7c578e23b,,,,
a68e5dc0-4c78-4060-a7b0-cb6e591e42c0,,,preservedspecimen,,pieris rapae,sdnhm211304,insecta,sdmc,adfa0ab3-b6b7-45bb-8f0d-c36b097b6bd4,,f.p. sala,,,north america,150,united states,usa,los angeles,7ddf754f-d193-4cc9-b351-99906754a03b,1984-05-26T00:00:00+00:00,2022-12-07T01:30:49.321485+00:00,0.2608695652173913,,,,,,9d1aa8a403882789f76bfa7e3d82b54aade642f6,1984-05-26,pieridae,,"[""geopoint_datum_missing"", ""dwc_taxonrank_added"", ""gbif_reference_added"", ""dwc_taxonid_replaced"", ""gbif_canonicalname_added"", ""dwc_continent_added"", ""gbif_genericname_added"", ""dwc_originalnameusageid_added"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""dwc_datasetid_added"", ""idigbio_isocountrycode_added"", ""gbif_vernacularname_added"", ""gbif_taxon_corrected"", ""dwc_taxonomicstatus_added"", ""taxon_match_failed""]",,pieris,,"{""lat"": 34.1181606, ""lon"": -118.2780911}",,true,true,,,,,sdnhm,,,animalia,,,,,,,"carnavon way, los angeles 90027",,,,"[""156c483d-aa68-45ae-ac72-bb7d420341bd""]",,,,,0b018ec0-be4a-41b6-9b3e-d5896affc27b,lepidoptera,arthropoda,"[""e48bb88f-9594-461e-8230-522a3a5572fe\\0b018ec0-be4a-41b6-9b3e-d5896affc27b"", ""urn:uuid:0b018ec0-be4a-41b6-9b3e-d5896affc27b"", ""e48bb88f-9594-461e-8230-522a3a5572fe\\57392638""]",,e48bb88f-9594-461e-8230-522a3a5572fe,pieris rapae,rapae,147,california,1920496,accepted,species,,a68e5dc0-4c78-4060-a7b0-cb6e591e42c0,"may 26, 1984",,,
bb2c392c-7714-414c-b8af-e929d83939d4,,,preservedspecimen,,pieris rapae,ypm ent 815082,insecta,ent,,,charles g. oliver,sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,3036,united states,usa,gunnison county,7ddf754f-d193-4cc9-b351-99906754a03b,1967-07-18T00:00:00+00:00,2022-12-07T01:18:52.358259+00:00,0.2898550724637681,,,,,,8ecb1f9d49c06e263fdda922627c2d8d71d5e561,1967-07-18,pieridae,,"[""gbif_reference_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""gbif_vernacularname_added"", ""idigbio_isocountrycode_added"", ""dwc_datasetid_replaced"", ""dwc_originalnameusageid_added"", ""taxon_match_failed"", ""dwc_taxonomicstatus_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added""]",,pieris,,"{""lat"": 38.92638, ""lon"": -107.47033}",,true,true,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; pieridae; pierinae,,1,,ypm,,,animalia,,,,,,,somerset,,,,"[""fe555cef-33f7-42ba-b693-e2d67c94f925""]",,,2134,,urn:uuid:e26240e7-4d72-485d-9b35-485df5b9e050,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:e26240e7-4d72-485d-9b35-485df5b9e050""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,pieris rapae,rapae,199,colorado,1920496,accepted,species,,bb2c392c-7714-414c-b8af-e929d83939d4,,,,
c6d119d1-a53d-42f1-8aa7-4d65ea067b82,,,preservedspecimen,,pieris rapae,ypm ent 815026,insecta,ent,,,charles l. remington,sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals,"[""sulphurs and whites; butterflies; butterflies and moths; winged insects; insects; hexapods; arthropods; animals""]",north america,19439,united states,usa,santa barbara county,7ddf754f-d193-4cc9-b351-99906754a03b,1951-06-21T00:00:00+00:00,2022-12-07T01:18:52.358259+00:00,0.2898550724637681,,,,,,03a2f0d0f7c571b09a176e3cce65e3ced8de990b,1951-06-21,pieridae,,"[""gbif_reference_added"", ""gbif_genericname_added"", ""dwc_scientificnameauthorship_replaced"", ""gbif_vernacularname_added"", ""idigbio_isocountrycode_added"", ""dwc_datasetid_replaced"", ""dwc_originalnameusageid_added"", ""taxon_match_failed"", ""dwc_taxonomicstatus_added"", ""dwc_country_replaced"", ""dwc_taxonid_added"", ""dwc_multimedia_added"", ""dwc_parentnameusageid_added"", ""gbif_taxon_corrected"", ""gbif_canonicalname_added""]",,pieris,,"{""lat"": 34.044982, ""lon"": -119.725853}",,true,true,animalia; arthropoda; hexapoda; insecta; pterygota; endopterygota; lepidoptera; ditrysia; papilionoidea; pieridae; pierinae,,1,,ypm,,,animalia,,,,,,,"santa cruz island, loma pelona",,,,"[""2b5644fb-9ad8-4eb0-8bd0-ae3871680b12""]",,,446,,urn:uuid:7761e51c-a6f5-4320-8277-4071a1471173,lepidoptera,arthropoda,"[""6b5e29d3-b462-44d8-ba38-d68af5088067\\urn:uuid:7761e51c-a6f5-4320-8277-4071a1471173""]",,6b5e29d3-b462-44d8-ba38-d68af5088067,pieris rapae,rapae,172,california,1920496,accepted,species,,c6d119d1-a53d-42f1-8aa7-4d65ea067b82,,,,
